trait_y	trait_x	rate	count_of_total	count_of_resigned	y_lower	y_upper	x_lower	x_upper	x_label	y_label	x_width	y_width
活動性	慎重性	0.5	4.0	2.0	23	38	66	76	66:76	23:38	10	15
活動性	慎重性	0.5	4.0	2.0	23	40	66	74	66:74	23:40	8	17
活動性	慎重性	0.5	2.0	1.0	23	43	68	74	68:74	23:43	6	20
活動性	慎重性	0.5	2.0	1.0	26	46	68	73	68:73	26:46	5	20
活動性	慎重性	0.5	4.0	2.0	28	38	66	79	66:79	28:38	13	10
活動性	慎重性	0.5	4.0	2.0	30	38	59	79	59:79	30:38	20	8
活動性	慎重性	0.5	4.0	2.0	30	39	59	74	59:74	30:39	15	9
活動性	慎重性	0.5	4.0	2.0	30	40	64	79	64:79	30:40	15	10
活動性	慎重性	0.5	2.0	1.0	30	43	68	79	68:79	30:43	11	13
活動性	慎重性	0.5	2.0	1.0	30	46	68	77	68:77	30:46	9	16
活動性	慎重性	0.5	6.0	3.0	31	48	66	73	66:73	31:48	7	17
活動性	慎重性	0.5	2.0	1.0	33	52	37	39	37:39	33:52	2	19
活動性	慎重性	0.5	2.0	1.0	34	38	58	77	58:77	34:38	19	4
活動性	慎重性	0.5	2.0	1.0	34	39	58	74	58:74	34:39	16	5
活動性	慎重性	0.5	2.0	1.0	34	40	59	69	59:69	34:40	10	6
活動性	慎重性	0.5	2.0	1.0	34	51	66	69	66:69	34:51	3	17
活動性	慎重性	0.5	2.0	1.0	36	38	57	77	57:77	36:38	20	2
活動性	慎重性	0.5	2.0	1.0	36	39	60	80	60:80	36:39	20	3
活動性	慎重性	0.5	2.0	1.0	36	40	64	80	64:80	36:40	16	4
活動性	慎重性	0.5	2.0	1.0	36	48	70	80	70:80	36:48	10	12
活動性	慎重性	0.5	2.0	1.0	36	56	70	74	70:74	36:56	4	20
活動性	慎重性	0.5	2.0	1.0	38	50	18	36	18:36	38:50	18	12
活動性	慎重性	0.5	2.0	1.0	38	52	28	36	28:36	38:52	8	14
活動性	慎重性	0.5	2.0	1.0	38	58	28	31	28:31	38:58	3	20
活動性	慎重性	0.5	2.0	1.0	39	45	44	48	44:48	39:45	4	6
活動性	慎重性	0.5	2.0	1.0	39	48	68	80	68:80	39:48	12	9
活動性	慎重性	0.5	2.0	1.0	39	56	70	76	70:76	39:56	6	17
活動性	慎重性	0.5	2.0	1.0	39	58	70	75	70:75	39:58	5	19
活動性	慎重性	0.5	2.0	1.0	41	44	35	50	35:50	41:44	15	3
活動性	慎重性	1.0	1.0	1.0	41	45	27	47	27:47	41:45	20	4
活動性	慎重性	0.5	2.0	1.0	41	48	66	80	66:80	41:48	14	7
活動性	慎重性	0.5	2.0	1.0	41	61	28	32	28:32	41:61	4	20
活動性	慎重性	0.5	2.0	1.0	42	44	35	52	35:52	42:44	17	2
活動性	慎重性	0.5	2.0	1.0	42	48	46	49	46:49	42:48	3	6
活動性	慎重性	0.5	4.0	2.0	42	52	54	55	54:55	42:52	1	10
活動性	慎重性	0.5	2.0	1.0	44	49	61	65	61:65	44:49	4	5
活動性	慎重性	0.5	2.0	1.0	45	48	50	55	50:55	45:48	5	3
活動性	慎重性	0.5	4.0	2.0	45	49	61	67	61:67	45:49	6	4
活動性	慎重性	0.5	2.0	1.0	46	49	27	46	27:46	46:49	19	3
活動性	慎重性	0.5	2.0	1.0	46	50	27	43	27:43	46:50	16	4
