trait	rate	count_of_total	count_of_resigned	lower	upper	width
[社交性]-minus-[活動性]	0.5	2.0	1.0	12.878787878787879	15.969696969696969	3.09090909090909
[社交性]-minus-[活動性]	0.5	2.0	1.0	12.878787878787879	15.626262626262623	2.747474747474744
[社交性]-minus-[活動性]	0.5	2.0	1.0	12.878787878787879	15.282828282828284	2.404040404040405
[慎重性]-minus-[活動性]	0.5	2.0	1.0	35.70707070707071	44.25252525252526	8.545454545454547
[慎重性]-minus-[活動性]	0.5	2.0	1.0	35.70707070707071	43.3030303030303	7.5959595959595845
[慎重性]-minus-[活動性]	0.5	2.0	1.0	35.70707070707071	42.35353535353535	6.646464646464636
[慎重性]-minus-[活動性]	0.5	2.0	1.0	35.70707070707071	41.4040404040404	5.696969696969688
[慎重性]-minus-[活動性]	0.5	2.0	1.0	29.060606060606062	33.8080808080808	4.74747474747474
[慎重性]-minus-[活動性]	1.0	1.0	1.0	35.70707070707071	40.45454545454545	4.74747474747474
[慎重性]-minus-[活動性]	1.0	1.0	1.0	26.212121212121218	30.95959595959596	4.74747474747474
[慎重性]-minus-[活動性]	0.5	2.0	1.0	22.41414141414141	26.212121212121218	3.7979797979798064
[慎重性]-minus-[活動性]	1.0	1.0	1.0	35.70707070707071	39.505050505050505	3.7979797979797922
[慎重性]-minus-[活動性]	0.5	2.0	1.0	30.01010101010101	33.8080808080808	3.7979797979797922
[慎重性]-minus-[活動性]	0.5	2.0	1.0	29.060606060606062	32.858585858585855	3.7979797979797922
[慎重性]-minus-[活動性]	1.0	1.0	1.0	27.161616161616166	30.95959595959596	3.7979797979797922
[慎重性]-minus-[活動性]	1.0	1.0	1.0	23.36363636363636	26.212121212121218	2.8484848484848584
[慎重性]-minus-[活動性]	0.5	2.0	1.0	22.41414141414141	25.26262626262627	2.8484848484848584
[慎重性]-minus-[活動性]	0.5	2.0	1.0	29.060606060606062	31.909090909090907	2.848484848484844
[慎重性]-minus-[活動性]	1.0	1.0	1.0	28.111111111111114	30.95959595959596	2.848484848484844
[慎重性]-minus-[活動性]	0.5	2.0	1.0	30.01010101010101	32.858585858585855	2.848484848484844
[慎重性]-minus-[活動性]	1.0	1.0	1.0	35.70707070707071	38.55555555555556	2.848484848484844
[慎重性]-minus-[活動性]	1.0	1.0	1.0	23.36363636363636	25.26262626262627	1.8989898989899103
[慎重性]-minus-[活動性]	0.6	5.0	3.0	2.474747474747474	4.373737373737377	1.8989898989899032
[慎重性]-minus-[活動性]	0.6	5.0	3.0	-21.262626262626263	-19.363636363636363	1.8989898989898997
[慎重性]-minus-[活動性]	0.6	5.0	3.0	-4.1717171717171695	-2.2727272727272734	1.8989898989898961
[慎重性]-minus-[活動性]	0.5	2.0	1.0	30.01010101010101	31.909090909090907	1.8989898989898961
[慎重性]-minus-[活動性]	1.0	1.0	1.0	35.70707070707071	37.60606060606061	1.8989898989898961
[慎重性]-minus-[活動性]	1.0	1.0	1.0	22.41414141414141	24.313131313131308	1.8989898989898961
[新奇性]-minus-[活動性]	0.5	2.0	1.0	12.666666666666668	16.0	3.333333333333332
[新奇性]-minus-[活動性]	0.5	2.0	1.0	12.666666666666668	15.444444444444443	2.777777777777775
[新奇性]-minus-[活動性]	0.5	2.0	1.0	12.666666666666668	14.888888888888893	2.222222222222225
[新奇性]-minus-[活動性]	0.5	4.0	2.0	-11.222222222222221	-9.0	2.2222222222222214
[新奇性]-minus-[活動性]	0.5555555555555556	9.0	5.0	-7.333333333333332	-5.111111111111111	2.2222222222222214
[新奇性]-minus-[活動性]	0.5	4.0	2.0	9.88888888888889	11.555555555555557	1.6666666666666679
[新奇性]-minus-[活動性]	0.5	2.0	1.0	12.666666666666668	14.333333333333336	1.6666666666666679
[新奇性]-minus-[活動性]	0.5	4.0	2.0	-10.666666666666666	-9.0	1.666666666666666
[新奇性]-minus-[活動性]	0.5	4.0	2.0	10.444444444444446	11.555555555555557	1.1111111111111107
[固執性]-minus-[活動性]	0.5	2.0	1.0	37.727272727272734	43.878787878787875	6.151515151515142
[固執性]-minus-[活動性]	0.5	2.0	1.0	38.60606060606061	43.878787878787875	5.272727272727266
[固執性]-minus-[活動性]	0.5	2.0	1.0	39.484848484848484	43.878787878787875	4.393939393939391
[固執性]-minus-[活動性]	0.5	2.0	1.0	40.36363636363636	43.878787878787875	3.5151515151515156
[固執性]-minus-[活動性]	0.5	2.0	1.0	41.242424242424235	43.878787878787875	2.6363636363636402
[固執性]-minus-[活動性]	0.5	2.0	1.0	-35.21212121212121	-32.57575757575758	2.636363636363633
[固執性]-minus-[活動性]	0.5	6.0	3.0	-9.727272727272727	-7.0909090909090935	2.636363636363633
[固執性]-minus-[活動性]	1.0	1.0	1.0	19.272727272727273	21.909090909090907	2.636363636363633
[固執性]-minus-[活動性]	0.5	2.0	1.0	18.39393939393939	20.151515151515156	1.757575757575765
[固執性]-minus-[活動性]	0.5	2.0	1.0	-36.09090909090909	-34.333333333333336	1.7575757575757578
[固執性]-minus-[活動性]	1.0	1.0	1.0	-35.21212121212121	-33.45454545454545	1.7575757575757578
[固執性]-minus-[活動性]	0.5	6.0	3.0	-10.606060606060609	-8.848484848484851	1.7575757575757578
[固執性]-minus-[活動性]	0.5	2.0	1.0	6.969696969696969	8.727272727272727	1.7575757575757578
