trait	rate	count_of_total	count_of_resigned	lower	upper	width
社交性	0.5	2.0	1.0	52	53	1
新奇性	1.0	1.0	1.0	65	66	1
固執性	0.5	2.0	1.0	72	100	28
固執性	0.5	2.0	1.0	72	99	27
固執性	0.5	2.0	1.0	73	100	27
固執性	0.5	2.0	1.0	74	100	26
固執性	0.5	2.0	1.0	72	98	26
固執性	0.5	2.0	1.0	73	99	26
固執性	0.5	2.0	1.0	75	100	25
固執性	0.5	2.0	1.0	74	99	25
固執性	0.5	2.0	1.0	73	98	25
固執性	0.5	2.0	1.0	72	97	25
固執性	1.0	1.0	1.0	76	100	24
固執性	0.5	2.0	1.0	75	99	24
固執性	0.5	2.0	1.0	74	98	24
固執性	0.5	2.0	1.0	73	97	24
固執性	0.5	2.0	1.0	72	96	24
固執性	0.5	2.0	1.0	72	95	23
固執性	0.5	2.0	1.0	73	96	23
固執性	0.5	2.0	1.0	74	97	23
固執性	1.0	1.0	1.0	76	99	23
固執性	0.5	2.0	1.0	75	98	23
固執性	0.5	2.0	1.0	72	94	22
固執性	0.5	2.0	1.0	73	95	22
固執性	0.5	2.0	1.0	75	97	22
固執性	0.5	2.0	1.0	74	96	22
固執性	1.0	1.0	1.0	76	98	22
固執性	0.5	2.0	1.0	73	94	21
固執性	0.5	2.0	1.0	74	95	21
固執性	0.5	2.0	1.0	75	96	21
固執性	0.5	2.0	1.0	72	93	21
固執性	1.0	1.0	1.0	76	97	21
固執性	1.0	1.0	1.0	76	96	20
固執性	0.5	2.0	1.0	75	95	20
固執性	0.5	2.0	1.0	72	92	20
固執性	0.5	2.0	1.0	73	93	20
固執性	0.5	2.0	1.0	74	94	20
固執性	0.5	2.0	1.0	73	92	19
固執性	1.0	1.0	1.0	76	95	19
固執性	0.5	2.0	1.0	72	91	19
固執性	0.5	2.0	1.0	74	93	19
固執性	0.5	2.0	1.0	75	94	19
固執性	0.5	2.0	1.0	73	91	18
固執性	0.5	2.0	1.0	74	92	18
固執性	0.5	2.0	1.0	75	93	18
固執性	0.5	2.0	1.0	72	90	18
固執性	1.0	1.0	1.0	76	94	18
固執性	1.0	1.0	1.0	76	93	17
固執性	0.5	2.0	1.0	74	91	17
固執性	0.5	2.0	1.0	72	89	17
固執性	0.5	2.0	1.0	73	90	17
固執性	0.5	2.0	1.0	75	92	17
固執性	1.0	1.0	1.0	76	92	16
固執性	0.5	2.0	1.0	72	88	16
固執性	0.5	2.0	1.0	73	89	16
固執性	0.5	2.0	1.0	75	91	16
固執性	0.5	2.0	1.0	74	90	16
固執性	1.0	1.0	1.0	76	91	15
固執性	0.5	2.0	1.0	75	90	15
固執性	0.5	2.0	1.0	74	89	15
固執性	0.5	2.0	1.0	73	88	15
固執性	0.5	2.0	1.0	72	87	15
固執性	0.5	2.0	1.0	75	89	14
固執性	0.5	2.0	1.0	73	87	14
固執性	0.5	2.0	1.0	72	86	14
固執性	1.0	1.0	1.0	76	90	14
固執性	0.5	2.0	1.0	74	88	14
固執性	0.5	2.0	1.0	74	87	13
固執性	0.5	2.0	1.0	75	88	13
固執性	0.5	2.0	1.0	73	86	13
固執性	0.5	2.0	1.0	72	85	13
固執性	1.0	1.0	1.0	76	89	13
固執性	0.5	2.0	1.0	73	85	12
固執性	1.0	1.0	1.0	76	88	12
固執性	0.5	2.0	1.0	75	87	12
固執性	0.5	2.0	1.0	72	84	12
固執性	0.5	2.0	1.0	74	86	12
固執性	1.0	1.0	1.0	76	87	11
固執性	0.5	2.0	1.0	73	84	11
固執性	0.5	2.0	1.0	72	83	11
固執性	0.5	2.0	1.0	74	85	11
固執性	0.5	2.0	1.0	75	86	11
固執性	1.0	1.0	1.0	76	86	10
固執性	0.5	2.0	1.0	72	82	10
固執性	0.5	2.0	1.0	73	83	10
固執性	0.5	2.0	1.0	75	85	10
固執性	0.5	2.0	1.0	74	84	10
固執性	0.5	2.0	1.0	72	81	9
固執性	1.0	1.0	1.0	76	85	9
固執性	0.5	2.0	1.0	74	83	9
固執性	0.5	2.0	1.0	73	82	9
固執性	0.5	2.0	1.0	75	84	9
固執性	0.5	2.0	1.0	72	80	8
固執性	0.5	2.0	1.0	73	81	8
固執性	0.5	2.0	1.0	74	82	8
固執性	0.5	2.0	1.0	75	83	8
固執性	1.0	1.0	1.0	76	84	8
固執性	1.0	1.0	1.0	76	83	7
固執性	0.5	2.0	1.0	72	79	7
固執性	0.5	2.0	1.0	75	82	7
固執性	0.5	2.0	1.0	74	81	7
固執性	0.5	2.0	1.0	73	80	7
固執性	0.5	2.0	1.0	72	78	6
固執性	0.5	2.0	1.0	74	80	6
固執性	1.0	1.0	1.0	76	82	6
固執性	0.5	2.0	1.0	75	81	6
固執性	0.5	2.0	1.0	73	79	6
固執性	1.0	1.0	1.0	76	81	5
固執性	0.5	2.0	1.0	74	79	5
固執性	0.5	2.0	1.0	75	80	5
固執性	0.5	2.0	1.0	73	78	5
固執性	0.5	2.0	1.0	72	77	5
固執性	1.0	1.0	1.0	76	80	4
固執性	0.5	2.0	1.0	73	77	4
固執性	0.5	2.0	1.0	74	78	4
固執性	0.5	2.0	1.0	75	79	4
固執性	1.0	1.0	1.0	76	79	3
固執性	0.5	2.0	1.0	74	77	3
固執性	0.5	2.0	1.0	75	78	3
固執性	0.5	2.0	1.0	75	77	2
固執性	1.0	1.0	1.0	76	78	2
固執性	1.0	1.0	1.0	76	77	1
主体性	0.5	2.0	1.0	27	28	1
決断性	0.5	4.0	2.0	33	34	1
